make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
Daihatsu,Cuore CX,2008,120000,Petrol,800,Manual,Kharian,980000.0
Toyota,Corolla GLi 1.3 VVTi,2017,127000,Petrol,1300,Manual,Lahore,3620000.0
Suzuki,Alto VXR,2010,78600,Petrol,1000,Manual,Karachi,980000.0
Daihatsu,Mira L,2013,114000,Petrol,660,Automatic,Karachi,2180000.0
Mitsubishi,Mirage 1.0 G,2012,137000,Petrol,1000,Automatic,Karachi,2050000.0
Daihatsu,Cuore CL,2006,200000,Petrol,800,Manual,Islamabad,720000.0
Honda,Civic VTi Prosmatec 1.8 i-VTEC,2014,105530,Petrol,1800,Automatic,Lahore,3300000.0
Suzuki,Alto VXL AGS,2022,18500,Petrol,660,Automatic,Lahore,2870000.0
Mercedes,Benz E Class 3rd (W211) Generation E200,2007,82000,Petrol,1800,Automatic,Lahore,6500000.0
Suzuki,Ravi,1989,91000,Petrol,800,Manual,Lahore,550000.0
Hyundai,Tucson AWD A/T Ultimate,2020,41234,Petrol,2000,Automatic,Faisalabad,7100000.0
Mazda,RX8 Type E,2006,45000,Petrol,2500,Automatic,Islamabad,3600000.0
Range,Rover Autobiography,2016,71000,Petrol,5000,Automatic,Islamabad,44500000.0
Toyota,Land Cruiser AX G Selection,2009,62000,Petrol,4600,Automatic,Karachi,4826085.669746166
Toyota,Hilux Invincible,2021,28000,Diesel,2400,Automatic,Karachi,4826085.669746166
Suzuki,Jimny,2020,38000,Petrol,660,Automatic,Karachi,4826085.669746166
Nissan,Patrol 6th (Y62) Generation XE,2013,94000,Petrol,4000,Automatic,Karachi,27500000.0
Honda,Freed Hybrid B,2012,113000,Hybrid,1500,Automatic,Karachi,3375000.0
Honda,Fit 1.5 Hybrid RS,2014,109500,Hybrid,1500,Automatic,Bahawalpur,3800000.0
Changan,Oshan X7 FutureSense,2022,12000,Petrol,1500,Automatic,Bahawalpur,7700000.0
Suzuki,Alto VXL AGS,2023,9615,Petrol,660,Automatic,Bahawalpur,3000000.0
Honda,City i-DSI,2005,235000,Petrol,1300,Manual,Bahawalpur,1675000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2020,68000,Petrol,1800,Automatic,Multan,610000.0
Suzuki,Wagon R VXL,2020,47000,Petrol,1000,Manual,Lahore,3100000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2021,120000,Petrol,1800,Automatic,Lahore,6050000.0
Suzuki,Swift DLX 1.3,2012,124033,Petrol,1300,Manual,Gujar Khan,2075000.0
Honda,Civic Reborn VTi 1.8 i-VTEC,2007,244000,Petrol,1800,Manual,Jhelum,2100000.0
Toyota,Corolla Altis Automatic 1.6,2015,160000,Petrol,1600,Automatic,Rawalpindi,4300000.0
Suzuki,Mehran VXR,2008,12000,Petrol,800,Manual,Swabi,730000.0
Suzuki,Every PC,2014,97956,Petrol,660,Automatic,Faisalabad,1550000.0
Suzuki,Bolan VX Euro II,2015,78000,Petrol,800,Manual,Okara,784000.0
KIA,Picanto 1.0 AT,2023,21000,Petrol,1000,Automatic,Karachi,3600000.0
Daihatsu,Mira X SA lll,2019,11000,Petrol,660,Automatic,Karachi,3420000.0
Suzuki,Wagon R VXL,2018,115000,Petrol,1000,Manual,Rahim Yar Khan,2300000.0
Suzuki,Bolan VX,2006,100000,Petrol,800,Manual,Karachi,680000.0
Honda,N Box Custom GL,2020,40000,Petrol,660,Automatic,Lahore,2950000.0
Honda,HR-V VTi-S,2023,22000,Petrol,1500,Automatic,Kohat,6800000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2021,18000,Petrol,1800,Automatic,Bahawalpur,7000000.0
Suzuki,Wagon R Hybrid FX,2021,89000,Hybrid,660,Automatic,Bahawalpur,3600000.0
Toyota,Land Cruiser,1993,350000,Diesel,2400,Automatic,Bahawalpur,2650000.0
Range,Rover Autobiography P400e,2018,36000,Hybrid,3000,Automatic,Islamabad,550000.0
Daihatsu,Move,2022,22000,Petrol,660,Automatic,Sialkot,3350000.0
Suzuki,Hustler,2022,47000,Hybrid,660,Automatic,Lahore,3750000.0
Toyota,Yaris Hatchback G 1.0,2021,31000,Petrol,996,Automatic,Lahore,4850000.0
Daihatsu,Mira L SA III,2020,60500,Petrol,660,Automatic,Karachi,3275000.0
Hyundai,Elantra GLS,2021,55000,Petrol,2000,Automatic,Lahore,5450000.0
Toyota,Alphard,2018,36000,Hybrid,2500,Automatic,Lahore,34000000.0
Toyota,Tundra 5.7i,2014,60000,Petrol,5700,Automatic,Multan,18500000.0
BAIC,BJ40 Plus Honorable Edition,2021,40650,Petrol,2000,Automatic,Islamabad,7900000.0
Suzuki,Hustler J Style II,2021,18000,Hybrid,660,Automatic,Islamabad,3650000.0
Honda,Freed Hybrid G Honda Sensing,2020,49000,Petrol,1500,Automatic,Islamabad,5999000.0
Honda,City 5th (GM2) Generation 1.3 i-VTEC,2011,145000,Petrol,1300,Manual,Bahawalpur,2400000.0
Honda,Fit 1.5 Hybrid RS,2014,109500,Hybrid,1500,Automatic,Bahawalpur,3800000.0
Changan,Oshan X7 FutureSense,2022,12000,Petrol,1500,Automatic,Bahawalpur,7700000.0
Suzuki,Alto VXL AGS,2023,9615,Petrol,660,Automatic,Bahawalpur,3000000.0
Honda,City i-DSI,2005,235000,Petrol,1300,Manual,Bahawalpur,1675000.0
Toyota,Vitz F 1.0,2007,148000,Petrol,1000,Automatic,Karachi,1939999.0
Toyota,Corolla,1993,200000,CNG,1500,Automatic,Peshawar,1000000.0
Suzuki,Mehran VX Euro II,2013,19,Petrol,796,Manual,Burewala,880000.0
Honda,Civic Rebirth Oriel Prosmatec UG,2014,106000,Petrol,1800,Automatic,Karachi,3650000.0
Daihatsu,Mira ES,2012,180000,Petrol,660,Automatic,Islamabad,2225000.0
Nissan,Juke 15RX Premium Personalize Package,2010,181000,Petrol,1500,Automatic,Lahore,3450000.0
Suzuki,Mehran VXR (CNG),2003,32000,Petrol,800,Manual,Mardan,680000.0
Toyota,Corolla XLi VVTi,2012,235000,Petrol,1300,Manual,Rawalpindi,2700000.0
Audi,A4 4th (B8) Generation 1.8 TFSI,2014,67000,Petrol,1800,Automatic,Islamabad,6800000.0
Toyota,Vitz 1.0F Safety Edition III,2017,105000,Petrol,1000,Automatic,Karachi,3975000.0
Hyundai,Tucson AWD A/T Ultimate,2025,1,Petrol,2000,Automatic,Multan,9470000.0
Honda,Civic VTi Oriel UG Prosmatec 1.6,2005,330000,Petrol,1600,Automatic,Faisalabad,1900000.0
Audi,A3 1.2 TFSI Design Line,2016,150000,Petrol,1200,Automatic,Faisalabad,5000000.0
Suzuki,Alto,2021,52000,Petrol,660,Manual,Karachi,2340000.0
Honda,Spike,2012,97000,Hybrid,1500,Automatic,Islamabad,3000000.0
Daihatsu,Mira X SA lll,2021,46000,Petrol,660,Automatic,Karachi,3800000.0
Daihatsu,Move X SA 2,2022,12000,Petrol,658,Automatic,Sialkot,3550000.0
Toyota,Raize Z,2019,25000,Petrol,1000,Automatic,Islamabad,5850000.0
Nissan,Roox S Hybrid,2021,45000,Hybrid,660,Automatic,Islamabad,3400000.0
Nissan,Dayz X,2022,11000,Petrol,660,Automatic,Karachi,3850000.0
Toyota,Mark X 300G Premium,2005,160000,Petrol,3000,Automatic,Karachi,5200000.0
Toyota,Passo,2015,141000,Petrol,1000,Automatic,Lahore,3000000.0
Honda,Vezel e-HEV Z,2021,21000,Hybrid,1500,Automatic,Lahore,9500000.0
Prince,Pearl MT,2021,12000,Petrol,800,Manual,Karachi,1090000.0
Toyota,Land Cruiser AX G Selection,2012,91000,Petrol,4600,Automatic,Multan,24300000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2019,108000,Petrol,1800,Automatic,Islamabad,5975000.0
Toyota,Corolla Altis SR Cruisetronic 1.8,2011,173800,Petrol,1800,Automatic,Faisalabad,3250000.0
Honda,BR-V i-VTEC S,2021,52000,Petrol,1500,Automatic,Lahore,4850000.0
Toyota,Duet,2007,245000,Petrol,1000,Automatic,Kasur,1150000.0
Toyota,Hilux D-4D Automatic,2007,150000,Diesel,3000,Automatic,Sargodha,4800000.0
Subaru,Stella CUSTOM RS,2021,18700,Petrol,660,Automatic,Karachi,3650000.0
Toyota,Corolla Altis X Automatic 1.6 Special Edition,2021,76000,Petrol,1598,Automatic,Rahim Yar Khan,4650000.0
Suzuki,Hustler,2022,47000,Hybrid,660,Automatic,Lahore,3750000.0
Suzuki,Wagon R VXL,2017,70000,Petrol,1000,Manual,Sialkot,2200000.0
