,make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
219,Suzuki,Alto,2019,"61,000 km",Petrol,660 cc,Automatic,Karachi,2550000.0
220,,,2015,20 km,Petrol,1300 cc,Manual,Shorkot,3000000.0
221,Suzuki,Bolan,2024,40 km,Petrol,800 cc,Manual,Multan,2180000.0
222,Toyota,Raize,2020,"57,000 km",Petrol,1000 cc,Automatic,Islamabad,6150000.0
223,Daihatsu,Mira,2020,"60,500 km",Petrol,660 cc,Automatic,Karachi,3275000.0
224,Honda,Civic Reborn,2007,"150,000 km",Petrol,1800 cc,Manual,Lahore,1950000.0
225,Toyota,Corolla,1982,786 km,Diesel,1800 cc,Manual,Dera ismail khan,285000.0
226,Suzuki,Mehran,2019,111 km,Petrol,796 cc,Manual,Kamoke,1500000.0
227,Nissan,Patrol,2012,"93,000 km",Petrol,5600 cc,Automatic,Karachi,
228,Toyota,Corolla,2020,"12,500 km",Petrol,1300 cc,Manual,Karachi,4950000.0
229,,,2012,"159,824 km",Petrol,660 cc,Automatic,Islamabad,2375000.0
230,Suzuki,Cultus,2010,"105,000 km",Petrol,1000 cc,Manual,Karachi,1050000.0
231,Toyota,Prado,2013,"185,000 km",Petrol,2700 cc,Automatic,Lahore,17000000.0
232,Suzuki,Cultus,2006,"100,000 km",Petrol,1000 cc,Manual,Sahiwal,790000.0
233,Suzuki,Alto,2025,25 km,Petrol,660 cc,Automatic,Multan,3229999.0
234,Daihatsu,Move,2012,"145,000 km",Petrol,660 cc,Automatic,Islamabad,1995000.0
235,KIA,Sportage,2020,"72,000 km",Petrol,2000 cc,Automatic,Islamabad,6550000.0
236,Suzuki,Mehran,2003,"98,000 km",Petrol,800 cc,Manual,Bahawalpur,875000.0
237,Honda,City,2009,"116,500 km",Petrol,1300 cc,Automatic,Lahore,2750000.0
238,,,2023,"30,389 km",Petrol,1200 cc,Automatic,Islamabad,5500000.0
239,,,2021,"36,377 km",Petrol,660 cc,Automatic,Karachi,2550000.0
240,Toyota,Land Cruiser,2008,"119,000 km",Petrol,4600 cc,Automatic,Lahore,18600000.0
241,Mercedes,Benz C Class,2012,"82,000 km",Petrol,1800 cc,Automatic,Lahore,7200000.0
